index,xcoord,ycoord,avgIntensity,bgIntensity
1,461,282,119.22,117.51
2,518,277,124.22,118.89
3,581,274,117.22,120.33
4,643,273,118.33,122.36
5,705,272,125.56,123.44
6,762,271,123.33,123.75
7,826,268,101.56,115.69
8,888,266,101.56,119.61
9,949,264,112.22,119.69
10,461,342,166.11,128.32
11,520,336,160.44,128.39
12,581,334,126,127.71
13,648,333,134,128.24
14,705,333,189.56,132.94
15,764,330,173.78,132.04
16,828,328,122.89,126.47
17,890,326,173.44,141.58
18,951,324,125.67,122.55
19,463,403,1404,152.46
20,521,400,1891.8,165.82
21,584,398,668.44,143.16
22,647,395,337,139.44
23,707,394,250.22,142.47
24,766,390,316.78,150.26
25,829,391,403.11,154.16
26,893,387,610.33,138.94
27,952,385,1422.8,133.45
28,464,465,122.89,132.22
29,523,460,132,136.51
30,586,458,131.89,136.2
31,648,459,149,137.4
32,708,455,133.44,139.2
33,768,453,135.67,141.59
34,830,450,142.44,143.23
35,892,449,139.44,138.5
36,954,446,132,135.83
37,465,525,143,133.69
38,525,523,147.67,139.11
39,587,520,162.33,150.97
40,650,518,159.78,142.75
41,710,515,151.56,149.11
42,768,514,191.89,155.35
43,833,512,230.56,153.7
44,894,510,163.89,141.13
45,954,507,204.78,140.32
46,467,586,787.56,141.59
47,526,584,977.11,152.97
48,589,581,1338.1,172.84
49,651,578,287.67,155.01
50,711,576,591.11,172.04
51,771,574,1920.8,193.05
52,832,570,966,168.44
53,897,570,288.33,152.94
54,956,568,1163.7,150.34
55,468,647,136.67,137.1
56,527,645,137.22,141.18
57,590,641,140.22,148.31
58,653,640,149.56,147.29
59,713,637,149.67,152.37
60,772,634,151.78,157.21
61,835,633,147.22,153.64
62,898,632,156.22,148.42
63,957,629,130.33,142.71
64,468,708,176.22,141.05
65,528,706,212.11,149.02
66,591,703,215.89,157.92
67,653,699,146.56,149.03
68,714,698,168.78,153.63
69,773,697,174.67,164.6
70,835,694,180.44,166.68
71,898,694,293.44,164.55
72,959,690,160.56,156.21
73,466,764,598,154.05
74,531,766,727,163.67
75,594,763,1366.2,175.25
76,655,760,212.11,143.07
77,715,758,399.11,152.99
78,776,757,1481.6,177.97
79,836,755,2321.2,189.3
80,901,755,756,195.91
81,960,751,2380.1,190.68
